Hora;Precios_Mercado(euro/MW);Precio_CO2(euro/Tn);Demanda(GWh);Temperatura_max(.C);Temperatura_min(.C);Precipitacion(l/m2);Velocidad_media(km/h);Irradiancia (W/m2)
12;50.81;24.44;47.75;16.8;3.1;0;2.16;0
13;49.67;24.44;47.75;16.8;3.1;0;2.16;0
14;49.17;24.44;31.83;16.8;3.1;0;2.16;0
15;47.1;24.44;31.83;16.8;3.1;0;2.16;0
16;46.33;24.44;31.83;16.8;3.1;0;2.16;0
17;49.16;24.44;47.75;16.8;3.1;0;2.16;0
18;53.53;24.44;47.75;16.8;3.1;0;2.16;0
19;55.92;24.44;47.75;16.8;3.1;0;2.16;0
20;55.09;24.44;31.83;16.8;3.1;0;2.16;0
21;54.99;24.44;31.83;16.8;3.1;0;2.16;0
22;53.67;24.44;31.83;16.8;3.1;0;2.16;0
23;49.16;24.44;31.83;16.8;3.1;0;2.16;0
0;45.17;23.98;16.56;15.6;4.6;0;6.84;0
1;46.55;23.98;16.56;15.6;4.6;0;6.84;0
2;38.01;23.98;16.56;15.6;4.6;0;6.84;0
3;34.89;23.98;16.56;15.6;4.6;0;6.84;0
4;33.7;23.98;16.56;15.6;4.6;0;6.84;0
5;33.56;23.98;16.56;15.6;4.6;0;6.84;0
6;34.00;23.98;16.56;15.6;4.6;0;6.84;0
7;37.51;23.98;16.56;15.6;4.6;0;6.84;0
8;48.45;23.98;33.13;15.6;4.6;0;6.84;0
9;49.23;23.98;33.13;15.6;4.6;0;6.84;2
10;51.49;23.98;49.69;15.6;4.6;0;6.84;0
11;49.67;23.98;49.69;15.6;4.6;0;6.84;0
12;48.33;23.98;49.69;15.6;4.6;0;6.84;0
13;44.41;23.98;49.69;15.6;4.6;0;6.84;0
14;44.9;23.98;33.13;15.6;4.6;0;6.84;0
15;39.81;23.98;33.13;15.6;4.6;0;6.84;0
16;39.00;23.98;33.13;15.6;4.6;0;6.84;0
17;41.66;23.98;49.69;15.6;4.6;0;6.84;8
18;46.89;23.98;49.69;15.6;4.6;0;6.84;0
19;51.89;23.98;49.69;15.6;4.6;0;6.84;0
20;52.98;23.98;33.13;15.6;4.6;0;6.84;0
21;53.31;23.98;33.13;15.6;4.6;0;6.84;0
22;52.05;23.98;33.13;15.6;4.6;0;6.84;0
23;48.49;23.98;33.13;15.6;4.6;0;6.84;0
0;40.16;24.28;16.57;16.1;6.3;0;6.12;0
1;34.13;24.28;16.57;16.1;6.3;0;6.12;0
2;32.7;24.28;16.57;16.1;6.3;0;6.12;0
3;31.00;24.28;16.57;16.1;6.3;0;6.12;0
4;27.98;24.28;16.57;16.1;6.3;0;6.12;0
5;27.65;24.28;16.57;16.1;6.3;0;6.12;0
6;29.38;24.28;16.57;16.1;6.3;0;6.12;0
7;32.00;24.28;16.57;16.1;6.3;0;6.12;0
8;43.66;24.28;33.15;16.1;6.3;0;6.12;0
9;47.4;24.28;33.15;16.1;6.3;0;6.12;47
10;48.73;24.28;49.72;16.1;6.3;0;6.12;156
11;47.3;24.28;49.72;16.1;6.3;0;6.12;158
12;44.2;24.28;49.72;16.1;6.3;0;6.12;269
13;41.6;24.28;49.72;16.1;6.3;0;6.12;321
14;38.01;24.28;33.15;16.1;6.3;0;6.12;423
15;36.21;24.28;33.15;16.1;6.3;0;6.12;323.01
16;36.27;24.28;33.15;16.1;6.3;0;6.12;202
17;40.62;24.28;49.72;16.1;6.3;0;6.12;83.01
18;47.3;24.28;49.72;16.1;6.3;0;6.12;0
19;49.97;24.28;49.72;16.1;6.3;0;6.12;0
20;50.01;24.28;33.15;16.1;6.3;0;6.12;0
21;50.85;24.28;33.15;16.1;6.3;0;6.12;0
22;49.89;24.28;33.15;16.1;6.3;0;6.12;0
23;46.8;24.28;33.15;16.1;6.3;0;6.12;0
0;40.00;24.12;16.43;17;7.2;0;14.04;0
1;42.94;24.12;16.43;17;7.2;0;14.04;0
2;37.2;24.12;16.43;17;7.2;0;14.04;0
3;34.77;24.12;16.43;17;7.2;0;14.04;0
4;34.18;24.12;16.43;17;7.2;0;14.04;0
5;34.13;24.12;16.43;17;7.2;0;14.04;0
6;34.18;24.12;16.43;17;7.2;0;14.04;0
7;34.4;24.12;16.43;17;7.2;0;14.04;0
8;34.51;24.12;32.87;17;7.2;0;14.04;0
9;35.68;24.12;32.87;17;7.2;0;14.04;11
10;40.00;24.12;49.3;17;7.2;0;14.04;184
11;42.61;24.12;49.3;17;7.2;0;14.04;100
12;40.01;24.12;49.3;17;7.2;0;14.04;108
13;38.6;24.12;49.3;17;7.2;0;14.04;242
14;38.97;24.12;32.87;17;7.2;0;14.04;188
